question,answer,additional_info,metadata.specialty,metadata.region,metadata.subregion,metadata.diagnosis,metadata.procedure,metadata.specialty_raw,metadata.region_raw,metadata.subregion_raw,metadata.diagnosis_raw,metadata.procedure_raw
What are the advantages of Reamed Femoral Nailing over Unreamed nailing?,"Disrupts endosteal blood supply, but stimulates soft tissue and periosteal blood supply to fracture (periosteal and soft tissue blood supply is predominate source after fracture) Extrudes medullary contents into fracture site (Autologous bone grafting) Allows for a larger diameter nail to be placed (larger nail is Stiffer and is related to the diameter4) Increases the area of isthmic contact with Nail NO increase in Infection rates after reaming Open Fractures",,trauma,thigh,,,,trauma,femur,femur,,
What is the union rate of Antegrade Femoral IMN for Femoral Shaft fxs?,98-99%,AO: Antegrade Nailing,trauma,thigh,femoral shaft,,,trauma,femoral shaft,femoral shaft,,
What is the Infection rate of Antegrade Femoral IMN for Femoral Shaft fxs?,2%,,trauma,thigh,femoral shaft,,,trauma,femoral shaft,femoral shaft,,
What is the surgical approach for a Retrograde Femoral intramedullary nail?,2 cm incision starting at distal pole of Patella Medial Parapatellar versus Transtendinous approaches Nail inserted with knee flexed to 30-50 degrees,AO: Retrograde nailing approach to the femoral shaft AO: Retrograde nailing,trauma,knee,,,,trauma,knee (medial parapatellar),knee (medial parapatellar),,
What are the 2 potential entry points for a Retrograde Femoral intramedullary nail?,Intercondylar Medial Condylar,AO: Retrograde nailing AO: Retrograde nailing approach to the femoral shaft   Intercondylar Starting point:   Medial Condylar Starting Point:,trauma,knee,distal femur,,,trauma,distal femur,distal femur,,
What are 4 ways to indirectly reduce a Femoral Shaft Fracture during a Retrograde IMN?,F-tool  Bumps Joysticking with Schanz pins Manual traction,Must be reduced to avoid Eccentrically Reaming  F-Tool:,trauma,thigh,,,,trauma,femur,femur,femoral shaft fracture,
What are 4 cons of a retrograde intramedullary femoral nail?,Knee pain  Increased rate of Interlocking Screw Irritation  Cartilage injury  Cruciate Ligament injury with Improper starting point,Use Perfect Circle Technique  AO: Retrograde nailing,trauma,thigh,,,,trauma,femur,femur,,scr
What 2 locations can femoral shaft Ex-Fix Pins be placed safely?,Anterolateral and direct lateral regions of the femur,2 pins should be used on each side of the fracture line,trauma,thigh,,,,trauma,femur,femur,,
What is the incidence of developing HO following Femoral Shaft fractures?,25%,,trauma,thigh,,,,trauma,femur,femur,femoral shaft fracture,
How much malrotation can be tolerated in Femoral Shaft fractures?,Up to 15 degrees is usually well-tolerated,,trauma,thigh,femoral shaft,,,trauma,femoral shaft,femoral shaft,femoral shaft fracture,
How do you treat a delayed union of a Femoral Shaft fx treated with IMN?,Dynamization of nail +/- bone grafting,,trauma,thigh,femoral shaft,,,trauma,femoral shaft,femoral shaft,,
At what time frame following surgery is a femoral shaft fracture considered a nonunion?,Incomplete healing within 9 months of injury or No Evidence of Healing on Successive radiographs over 3 months,Incidence of <10%,trauma,thigh,,,,trauma,femur,femur,femoral shaft fracture,
What are 3 surgical treatment options for Femoral IMN nonunion?,Reamed exchange nailing  Plate augmentation with nail retention  Compression plating,,trauma,thigh,femoral shaft,,,trauma,femoral shaft,femoral shaft,,
What are 2 risk factors for iatrogenic fracture during intramedullary Femoral nailing?,Antegrade starting point 6 mm or more Anterior to the Intramedullary axis  Failure to Overream canal by at least .5 mm,"However, Anterior starting point improves position of screws into femoral head   Increased cortical hoop stresses with Anterior starting points   Using an Anterior start point for a piriformis nail can result in a proximal femur fracture",trauma,thigh,,,,trauma,femur,femur,,scr
What are 2 ways that iatrogenic ANTERIOR Cortical penetration can occur during Antegrade Femoral Intramedullary fixation?,Mismatch of the radius of curvature of the nail to the radius of curvature of the femur  Starting points that are too posterior (especially piriformis start points) with relatively straight nails,Nail with Greater RoC = Nail Straighter than the Femur,trauma,thigh,,,,trauma,femur,femur,,
Are Femoral Neck Fractures more common in Men or Women?,Women,Incidence increasing due to aging population,trauma,hip,,,,trauma,hip,,,
Are Femoral Neck Fractures more common in Caucasians or African Americans?,Caucasians > African Americans,,trauma,hip,,,,trauma,hip,,,
Which country has highest incidence of hip fx rates worldwide?,United states,,recon,hip,,,,recon,hip,,,
What are the biological reasons why Femoral Neck Fractures are predisposed to non-union?,"Femoral neck is intracapsular, bathed in synovial fluid::Location Lacks Periosteal Layer Callus formation is limited, which affects healing",,trauma,hip,,,,trauma,hip,,,
What are the 1 major and 3 minor contributing vessels to the blood supply of the femoral head?,Major: Medial femoral circumflex (Lateral epiphyseal artery)  Some contribution to anterior and inferior head from lateral femoral circumflex artery  Some contribution from inferior gluteal artery  Small and insignificant supply from artery of ligamentum teres,,,hip,,,,hip,hip,,,
What is the effect on the blood supply to the femoral head in displaced femoral neck fractures?,Disrupts the blood supply and causes an Intracapsular Hematoma (effect is controversial),,trauma,hip,,,,trauma,femoral head,femoral head,,
Where does the patient typically allocate their pain in impacted versus displaced Hip fractures?,Impacted and Stress Fxs: Slight pain in the groin or pain referred along the medial side of the thigh and knee    Displaced fractures: Pain in the entire hip region,,trauma,hip,,,,trauma,hip region,hip region,,
Three recommended views for Femoral Neck Fractures?,"AP, Cross-table Lateral, Full-length femur",,trauma,hip,,,,trauma,hip,,,
When should you order a screening DVT ultrasound pre-operatively for Hip Fractures?,Delayed presentation to hospital,,trauma,global,lower extremity,,,trauma,lower extremity,lower extremity,,scr
When is ORIF considered for Femoral Neck fractures?,Displaced fractures in young or physiologically young patients,ORIF indicated for most pts <50 years of age,trauma,hip,,,orif,trauma,hip,,,
Which Femoral Neck fractures are suitable for cannulated screw fixation?,Nondisplaced transcervical fx  Garden I or II in the physiologically elderly  Displaced Transcervical fx in young patient,,trauma,cervical spine,,,,trauma,femoral neck,femoral neck,,scr
Which Femoral Neck fracture locations and/or patterns may be treated with a sliding hip screw?,Basicervical fracture  Vertical fracture pattern in a YOUNG patient,Basicervical:   Vertical Fracture:,trauma,cervical spine,,,,trauma,femoral neck,femoral neck,,scr
Which is biomechanically superior for Femoral Neck Fractures: Sliding hip screw or Cannulated screws?,Sliding Hip Screw (May NOT be CLINICALLY Superior),,trauma,hip,,,,trauma,femoral neck,femoral neck,,scr
"For Femoral Neck Fxs, which patient and fracture factors prompt consideration of THA?",Older Active patients  Patients with preexisting hip osteoarthritis   Garden III or IV in patient < 85 years,,recon,hip,,,,recon,hip,,,
"In Femoral Neck Fx patients with preexisting hip osteoarthritis, will a hemi or THA provide more pain relief and function?",THA,,recon,hip,,,total hip arthroplasty,recon,hip,,,
What is the effect of obtaining a preop echocardiogram on time to surgery and treatment decisions for Femoral Neck fxs?,Delay the time to surgery WITHOUT any effect on Treatment Decisions,,trauma,hip,,,,trauma,hip,,,
What is the biomechanical benefit of fixation with implants that allow sliding in Femoral Neck fxs?,Permit Dynamic Compression at fx site during Axial Loading,Pauwel's Type III treated with SHS:,trauma,hip,,,,trauma,hip,,,
What problems can arise from shortening of the femoral neck after sliding hip screw use?,Prominent implants  Affects biomechanics of hip joint  Lower physical function on SF-36  Decreased quality of life,,recon,hip,,,,recon,hip,,,scr
After how much accepted Femoral Neck fracture displacement (in mm) does the rate of AVN and nonunion Increase?,> 5 mm,,trauma,hip,,,,trauma,hip,,,
When would four cannulated screws instead of three be considered for Femoral Neck fractures?,Posterior comminution,Clear advantage of additional screws NOT proven in literature,trauma,hip,,,,trauma,femoral neck,femoral neck,,scr
"In order to avoid intra-op fracture during Femoral Neck Cannulated Screw Placement, which structure should the entry point be at or proximal to?",At or Above level of Lesser Trochanter,,trauma,hip,proximal femur,,,trauma,proximal femur,proximal femur,,scr
"In Hip Hemiarthroplasty, do Cemented or Uncemented femoral stems have Superior results?",Cemented,allows for early mobilization,recon,hip,,,,recon,hip,,,hemiarthroplasty
What is the rate of dislocation post-operatively for Femoral Neck fx treated with THA?,~10%,"About five times higher than hemiarthroplasty  Therefore, should NOT use to treat femoral neck Fxs in patients at high risk for dislocation (CP, neuro dz, etc.)",recon,hip,,,,recon,hip,,,hemiarthroplasty
What percentage of patients develop AVN after fixation of Femoral Neck Fractures?,10-45%,About five times higher than hemiarthroplasty,trauma,hip,,,,trauma,hip,,,hemiarthroplasty
Which 3 surgical or fracture factors increase the risk of AVN following Femoral Neck Fractures?,Increased initial Displacement  Nonanatomical reduction  Sliding hip screw (reported by the FAITH study)::Surgical implant,,trauma,hip,,,,trauma,femoral neck,femoral neck,,scr
What are 4 treatment options for Femoral Neck Fx Non-Union?,Valgus intertrochanteric osteotomy   Free vascularized fibula graft (FVFG)   Arthroplasty   Revision ORIF,,trauma,hip,,,orif,trauma,hip,,,
What is the biomechanical advantage of a Valgus Intertrochanteric Osteotomy for Femoral Neck Fx Non-Union?,Turns Vertical fx line into Horizontal fx line and Decreases Shear forces across fx line,,trauma,hip,,,,trauma,hip,,,osteotomy
What is the indication for a Free Vascularized Fibula Graft (FVFG) for Femoral Neck Fx Non-Union?,Young patients with a Viable Femoral Head,,trauma,hip,,,,trauma,hip,,,
What are the indications for arthroplasty for Femoral Neck Fx Non-Union?,Older patients  Non-viable femoral head,,recon,hip,,,,recon,hip,,,
What is the most significant determinant for Femoral Neck fx post-operative Patient survival?,Pre-Injury Mobility,,trauma,hip,,,,trauma,hip,,,
A healthy 72-year-old woman sustains the injury below after falling down the stairs. What is the Young-Burgess Classification and Treatment?,"LC I, Bilateral WBAT",,trauma,pelvis,,,,trauma,pelvis,,,
What is the Lauge-Hansen Classification and Treatment for this Ankle Fracture?,"SAD II, ORIF (Fibular plating with open correction of plafond impaction with medial malleolar antiglide plate)",,footankle,ankle,,,orif,footankle,ankle,,,
What fluoroscopic view is used to assess intra-articular screw penetration during Volar fixation of a Distal Radius Fracture?,23° Elevated Lateral view,23° Elevated Lateral View:   Skyline View:   Non-Elevated Lateral View:,hand,wrist,,,,hand,wrist,,,scr
What is the Center of Rotation of Angulation (CORA) in Diaphyseal Tibial fx Deformity?,"The Intersection of the proximal mechanical (PMA) or anatomical axis (PAA), and the distal mechanical (DMA) or anatomical axis (DAA)",,trauma,leg,tibia,,,trauma,tibia,tibia,,
"Intramedullary nailing of Proximal Tibial Shaft fractures are technically demanding, and use of an Extended Medial Parapatellar incision with a Semiextended technique can prevent what common deformity at the fracture site?",Procurvatum,,trauma,knee,,,intramedullary nailing,trauma,knee,,,
What are the 4 main risk factors for Proximal Humerus Fractures?,Osteoporosis   Diabetes   Epilepsy   Female gender,,shoulderelbow,shoulder,,,,shoulderelbow,shoulder,,osteoporosis,
What is the incidence of associated arterial injury in Proximal Humerus Fractures?,"5-6%, higher likelihood in older patients",Most often occur at level of surgical neck or with subcoracoid dislocation of the head,shoulderelbow,shoulder,,,,shoulderelbow,shoulder,,,
What structure of the Proximal Humerus represents the Old Epiphyseal Plate?,Anatomic Neck,,shoulderelbow,shoulder,,,,shoulderelbow,shoulder,,,
What is the average neck-shaft angle of the native proximal humerus?,135 degrees,,shoulderelbow,shoulder,,,,shoulderelbow,proximal humerus,proximal humerus,,
