question,answer,additional_info,metadata.specialty,metadata.region,metadata.subregion,metadata.diagnosis,metadata.procedure,metadata.specialty_raw,metadata.region_raw,metadata.subregion_raw,metadata.diagnosis_raw,metadata.procedure_raw
Which rotator cuff tendon(s) attach to the lesser tuberosity?,Subscapularis,,shoulderelbow,shoulder,,,,shoulderelbow,shouldergirdle,shouldergirdle,,
What structure separates the greater and lesser tuberosities?,Bicipital groove,,shoulderelbow,shoulder,,,,shoulderelbow,shouldergirdle,shouldergirdle,,
What structure attaches just lateral to the bicipital groove?,Pectoralis major,,shoulderelbow,shoulder,,,,shoulderelbow,shouldergirdle,shouldergirdle,,
What structures (2) insert just medial to the bicipital groove?,Latissimus dorsi & Teres major,,shoulderelbow,shoulder,,,,shoulderelbow,shouldergirdle,shouldergirdle,,
Where does the long head of the biceps originate?,Glenoid tubercle,,shoulderelbow,shoulder,,,,shoulderelbow,shouldergirdle,shouldergirdle,,
What structure lies within the deltopectoral interval?,Cephalic vein,,shoulderelbow,shoulder,,,,shoulderelbow,shouldergirdle,shouldergirdle,,
"""In the deltopectoral approach, what vessels (3) are encountered at the distal margin of the subscapularis tendon?","Anterior humeral circumflex artery and its two venous communicantes - """"3 sisters""""""",,shoulderelbow,shoulder,,,,shoulderelbow,shouldergirdle,shouldergirdle,,
What structures (2) make up the conjoined tendon?,Short head of the biceps Coracobrachialis,,shoulderelbow,shoulder,,,,shoulderelbow,shouldergirdle,shouldergirdle,,
Which tendons (3) attach to the coracoid?,Short head of the biceps Coracobrachialis Pectoralis minor,,shoulderelbow,shoulder,,,,shoulderelbow,shouldergirdle,shouldergirdle,,
Which ligaments (4) attach to the coracoid?,Conoid Trapezoid Coracohumeral Coracoacromial,,shoulderelbow,shoulder,,,,shoulderelbow,shouldergirdle,shouldergirdle,,
Which ligaments (2) provide superior and inferior stability to the clavicle?,Conoid Trapezoid,,shoulderelbow,shoulder,,,,shoulderelbow,shouldergirdle,shouldergirdle,,
Which ligament provides anterior and posterior stability to the clavicle?,Acromioclavicular (AC),,shoulderelbow,shoulder,,,,shoulderelbow,shouldergirdle,shouldergirdle,,
Where do the CC ligaments attach on the clavicle?,Trapezoid: 3 cm medial to the AC joint Conoid: 4.5 cm medial to the AC joint,,shoulderelbow,shoulder,,,,shoulderelbow,shouldergirdle,shouldergirdle,,
Which CC ligament is more posterior?,Conoid,,shoulderelbow,shoulder,,,,shoulderelbow,shouldergirdle,shouldergirdle,,
Which nerve is at risk with dissection medial to the conjoined tendon?,Musculocutaneous nerve,,shoulderelbow,shoulder,,,,shoulderelbow,shouldergirdle,shouldergirdle,,
What artery runs along the lateral border of the bicipital groove?,Arcuate artery,,shoulderelbow,shoulder,,,,shoulderelbow,shouldergirdle,shouldergirdle,,
What percentage of shoulder motion is attributable to the glenohumeral joint and scapulothoracic articulations?,Glenohumeral: 2/3 - 120° Scapulothoracic: 1/3 - 60°,,shoulderelbow,thoracic spine,,,,shoulderelbow,shouldergirdle,shouldergirdle,,
Weakness of which muscle causes medial scapular winging?,Serratus Anterior,,sports,shoulder,,,,sports,shouldergirdle,shouldergirdle,,
Injury to which nerve causes medial scapular winging?,Long thoracic nerve,,shoulderelbow,thoracic spine,,,,shoulderelbow,shouldergirdle,shouldergirdle,,
Weakness of which muscle causes lateral scapular winging?,Trapezius,,shoulderelbow,shoulder,,,,shoulderelbow,shouldergirdle,shouldergirdle,,
Injury to which nerve causes lateral scapular winging?,CN XI,,shoulderelbow,shoulder,,,,shoulderelbow,shouldergirdle,shouldergirdle,,
The axillary nerve is approximately how far distal to the lateral edge of the acromion?,5 cm,,shoulderelbow,shoulder,,,,shoulderelbow,shouldergirdle,shouldergirdle,,
What are the two predominate heads of the pectoralis major?,Clavicular and Sternocostal,Sternocostal is most commonly injured,shoulderelbow,shoulder,,,,shoulderelbow,shouldergirdle,shouldergirdle,,
What are the borders of the quadrilateral space?,Superior - Teres minor Inferior - Teres major Lateral - Humerus Medial - Long head of the triceps,,shoulderelbow,shoulder,,,,shoulderelbow,shouldergirdle,shouldergirdle,,
What structures (2) are within the quadrilateral space?,Axillary nerve Posterior humeral circumflex artery,,sports,shoulder,,,,sports,shouldergirdle,shouldergirdle,,
A cyst in the suprascapular notch affects which nerve (1) and muscles (2)?,Suprascapular nerve Supraspinatus and Infraspinatus,,shoulderelbow,shoulder,,,,shoulderelbow,shouldergirdle,shouldergirdle,,
A cyst in the spinoglenoid notch affects which nerve (1) and muscle (1)?,Suprascapular nerve Infraspinatus,,shoulderelbow,shoulder,,,,shoulderelbow,shouldergirdle,shouldergirdle,,
What is the relationship of the neurovascular structures to the transverse scapular ligament in the suprascapular notch?,Suprascapular artery is above::above/below the ligament Suprascapular nerve is below::above/below the ligament,Artery = Above or Army > Navy,shoulderelbow,hip,,,,shoulderelbow,shouldergirdle,shouldergirdle,,
"What are the primary ligamentous restraints of the shoulder in 0°, 45°, and 90° of abduction?",0°: Superior glenohumeral ligament (SGHL) 45°: Middle glenohumeral ligament (MGHL) 90°: Inferior glenohumeral ligament (IGHL),,shoulderelbow,shoulder,,,,shoulderelbow,shouldergirdle,shouldergirdle,,
What is the AP dimension of the supraspinatus footprint?,12 mm,,shoulderelbow,foot,,,,shoulderelbow,shouldergirdle,shouldergirdle,,
Which neurovascular structures are at risk when debriding too medial in the subacromial space during shoulder arthroscopy?,Suprascapular nerve/artery,,sports,shoulder,,,,sports,shouldergirdle,shouldergirdle,,
Which vascular structure may be injured with debridement of the coracoacromial ligament?,Acromial branch of the Thoracoacromial artery,,shoulderelbow,shoulder,,,,shoulderelbow,shouldergirdle,shouldergirdle,,debridement
How far is the top of the greater tuberosity from the pectoralis major tendon?,5-6 cm,,shoulderelbow,shoulder,,,,shoulderelbow,shouldergirdle,shouldergirdle,,
Which bone is the first to ossify and the last to fuse?,Clavicle,,peds,shoulder,,,,peds,shouldergirdle,shouldergirdle,,
What is the classification for lateral third clavicle fractures?,Allman/Neer Classification,"Type I: Fracture lateral to CC ligaments   Type II: A- Fracture medial to CC ligaments B1- Fracture between CC ligaments, conoid torn B2- Fracture lateral to CC ligaments, conoid and trapezoid torn   Type III: Fracture extends into AC joint   Type IV: Physeal fracture   Type V: Comminuted fracture",trauma,shoulder,,,,trauma,shouldergirdle,shouldergirdle,clavicle fracture,
Which part of the clavicle is most commonly fractured?,Middle third (80%),,trauma,shoulder,,,,trauma,shouldergirdle,shouldergirdle,,
What are the deforming forces on each fragment in a middle third clavicle fracture?,SCM pulls medial fragment posterior and superior Pec major pulls lateral fragment inferior and medial,,trauma,shoulder,,,,trauma,shouldergirdle,shouldergirdle,clavicle fracture,
What are the operative indications for clavicle fracture?,1) Open fractures 2) Skin tenting 3) Neurovascular injuries 4) Z-deformity 5) Floating shoulder 6) >2 cm shortening 7) 100% displacement,,trauma,shoulder,,,,trauma,shouldergirdle,shouldergirdle,clavicle fracture,
What are the two plate positions for ORIF of the clavicle?,Superior Anterior,,trauma,shoulder,,,orif,trauma,shouldergirdle,shouldergirdle,,
"When correcting a clavicular fracture with ORIF, which plate position is biomechanically stronger?",Superior,,trauma,shoulder,,,orif,trauma,shouldergirdle,shouldergirdle,,
"Following superior plating of a clavicular fracture, what is the most common patient complaint?",Hardware prominence,,trauma,shoulder,,,,trauma,shouldergirdle,shouldergirdle,,
What muscle must you split when approaching the clavicle?,Platysma,Platysma is innervated by CN VII (facial),trauma,shoulder,,,,trauma,shouldergirdle,shouldergirdle,,
What superficial nerves should you attempt to preserve during the approach to the clavicle?,Supraclavicular nerves,,trauma,knee,,,,trauma,shouldergirdle,shouldergirdle,,
What defines a floating shoulder?,Ipsilateral clavicle and scapula fractures,,trauma,shoulder,,,,trauma,shouldergirdle,shouldergirdle,,
What radiograph should be obtained in PACU following ORIF of the clavicle?,Chest x-ray,To evaluate for pneumothorax,trauma,shoulder,,,orif,trauma,shouldergirdle,shouldergirdle,,
What is the classiciation for AC joint injuries?,Rockwood Classification,"Rockwood sounds like the name of someone who would casually hang out at the Athletic Club to drink  Type I: AC sprain   Type II: AC ligament tear without CC injury, no displacement   Type III: AC and CC ligaments torn, <100% superior displacement of the clavicle   Type IV: AC and CC ligaments torn, posterior displacement of the clavicle   Type V: AC and CC ligaments torn, >100% superior displacement of the clavicle   Type VI: AC and CC ligaments torn, inferior displacement of the clavicle",trauma,shoulder,,,,trauma,shouldergirdle,shouldergirdle,,
What is the classification for scapula fracture?,Ideberg,"Type I: Anterior avulsion Type II: Oblique, exits the glenoid inferiorly Type III: Oblique, exits the glenoid superiorly Type IV: Transverse, exits through the scapular body Type V: Type II + Type IV",trauma,shoulder,,,,trauma,shouldergirdle,shouldergirdle,,
What other injuries (2) are highly associated with scapular fractures?,Chest wall injuries Lung contusion,,trauma,shoulder,,,,trauma,shouldergirdle,shouldergirdle,,
What is the most widely used classification for proximal humerus fractures?,Neer,Described by the number of parts,trauma,shoulder,,,,trauma,shouldergirdle,shouldergirdle,,scr
"With respect to Neer's classification of proximal humerus fractures, what structures (4) are considered parts?",Head Greater tuberosity Lesser tuberosity Humeral shaft,,trauma,shoulder,,,,trauma,shouldergirdle,shouldergirdle,,
"""With respect to Neer's classification of proximal humerus fractures, what defines a """"part""""?","≥45° angulation and/or ≥1cm of displacement""",,trauma,shoulder,,,,trauma,shouldergirdle,shouldergirdle,,
What are the operative indications (3) for proximal humerus fractures?,>5mm of greater tuberosity displacement Head splitting fracture >2-part fracture in young patient,,trauma,shoulder,,,,trauma,shouldergirdle,shouldergirdle,,
Which nerve is most commonly injured following proximal humerus fractures?,Axillary,,trauma,shoulder,,,,trauma,shouldergirdle,shouldergirdle,,
What is the classification for AVN of the proximal humerus?,Cruess Classification,"Stage I: Normal on XR, changes on MRI   Stage II: Sclerosis, osteopenia   Stage III: Crescent sign   Stage IV: Flattening and collapse   Stage V: Degenerative changes of the glenoid",trauma,shoulder,,,,trauma,shouldergirdle,shouldergirdle,,
What fracture characteristic is a good prognostic indicator for maintaining proximal humerus vascularity?,≥8mm of intact medial calcar on the articular segment,,trauma,shoulder,,,,trauma,shouldergirdle,shouldergirdle,,
What is the most common complication of ORIF for proximal humerus fractures?,Screw penetration into the joint,,trauma,shoulder,,,orif,trauma,shouldergirdle,shouldergirdle,,
What is the most common resultant deformity following failed ORIF of proximal humerus fractures?,Varus,,trauma,shoulder,,,orif,trauma,shouldergirdle,shouldergirdle,,
What are the two most common surgical approaches to the proximal humerus?,Deltopectoral Lateral deltoid split,,trauma,shoulder,,,,trauma,shouldergirdle,shouldergirdle,,
Which structure is at risk during the lateral deltoid split approach?,Axillary neurovascular bundle,,trauma,shoulder,,,,trauma,shouldergirdle,shouldergirdle,,
Shoulder dislocations most commonly occur in which direction?,Anterior,,trauma,shoulder,,,,trauma,trauma::traumashoulderdislocations,trauma::traumashoulderdislocations,shoulder dislocation,
Seizures and electrocution injuries are associated with shoulder dislocations in which direction?,Posterior,,trauma,shoulder,,,,trauma,trauma::traumashoulderdislocations,trauma::traumashoulderdislocations,shoulder dislocation,
"Internal rotators of the shoulder are stronger than the external rotators, which leaves the shoulder more susceptible to dislocation in which direction?",Posterior,"Overall, anterior dislocation is more common, but these mechanisms in theory increase chance of posterior dislocation.   Internal rotators: Latissimus dorsi and pectoralis major External rotators: Infraspinatus and teres minor",trauma,hip,,,,trauma,trauma::traumashoulderdislocations,trauma::traumashoulderdislocations,,
