question,answer,additional_info,metadata.specialty,metadata.specialty2,metadata.region,metadata.subregion,metadata.diagnosis1,metadata.diagnosis2,metadata.procedure,metadata.procedure2,metadata.procedure3,,
What are the two predominate heads of the pectoralis major?,Clavicular and Sternocostal,Sternocostal is most commonly injured,shoulderelbow,,shoulder,,,,,,,,
What are the borders of the quadrilateral space?,Superior - Teres minor Inferior - Teres major Lateral - Humerus Medial - Long head of the triceps,,shoulderelbow,,shoulder,,,,,,,,
What structures (2) are within the quadrilateral space?,Axillary nerve Posterior humeral circumflex artery,,sports,,shoulder,,,,,,,,
A cyst in the suprascapular notch affects which nerve (1) and muscles (2)?,Suprascapular nerve Supraspinatus and Infraspinatus,,shoulderelbow,,shoulder,,,,,,,,
A cyst in the spinoglenoid notch affects which nerve (1) and muscle (1)?,Suprascapular nerve Infraspinatus,,shoulderelbow,,shoulder,,,,,,,,
What is the relationship of the neurovascular structures to the transverse scapular ligament in the suprascapular notch?,Suprascapular artery is above::above/below the ligament Suprascapular nerve is below::above/below the ligament,Artery = Above or Army > Navy,shoulderelbow,,shoulder,,,,,,,,
"What are the primary ligamentous restraints of the shoulder in 0°, 45°, and 90° of abduction?",0°: Superior glenohumeral ligament (SGHL) 45°: Middle glenohumeral ligament (MGHL) 90°: Inferior glenohumeral ligament (IGHL),,shoulderelbow,,shoulder,,,,,,,,
What is the AP dimension of the supraspinatus footprint?,12 mm,,shoulderelbow,,shoulder,rotator_cuff,,,,,,,
Which neurovascular structures are at risk when debriding too medial in the subacromial space during shoulder arthroscopy?,Suprascapular nerve/artery,,sports,,shoulder,,,,shoulder_arthroscopy,,,,
Which vascular structure may be injured with debridement of the coracoacromial ligament?,Acromial branch of the Thoracoacromial artery,,shoulderelbow,,shoulder,,,,,,,,
How far is the top of the greater tuberosity from the pectoralis major tendon?,5-6 cm,,shoulderelbow,,shoulder,,,,,,,,
Which bone is the first to ossify and the last to fuse?,Clavicle,,peds,,shoulder,,,,,,,,
What is the classification for lateral third clavicle fractures?,Allman/Neer Classification,"Type I: Fracture lateral to CC ligaments   Type II: A- Fracture medial to CC ligaments B1- Fracture between CC ligaments, conoid torn B2- Fracture lateral to CC ligaments, conoid and trapezoid torn   Type III: Fracture extends into AC joint   Type IV: Physeal fracture   Type V: Comminuted fracture",trauma,,shoulder,clavicle,clavicle_fx,,,,,,
Which part of the clavicle is most commonly fractured?,Middle third (80%),,trauma,,shoulder,clavicle,clavicle_fx,,,,,,
What are the deforming forces on each fragment in a middle third clavicle fracture?,SCM pulls medial fragment posterior and superior Pec major pulls lateral fragment inferior and medial,,trauma,,shoulder,clavicle,clavicle_fx,,,,,,
What are the operative indications for clavicle fracture?,1) Open fractures 2) Skin tenting 3) Neurovascular injuries 4) Z-deformity 5) Floating shoulder 6) >2 cm shortening 7) 100% displacement,,trauma,,shoulder,clavicle,clavicle_fx,,,,,,
What are the two plate positions for ORIF of the clavicle?,Superior Anterior,,trauma,,shoulder,clavicle,clavicle_fx,,clavicle_orif,,,,
"When correcting a clavicular fracture with ORIF, which plate position is biomechanically stronger?",Superior,,trauma,,shoulder,clavicle,clavicle_fx,,clavicle_orif,,,,
"Following superior plating of a clavicular fracture, what is the most common patient complaint?",Hardware prominence,,trauma,,shoulder,clavicle,clavicle_fx,,clavicle_orif,,,,
What muscle must you split when approaching the clavicle?,Platysma,Platysma is innervated by CN VII (facial),trauma,,shoulder,clavicle,clavicle_fx,,clavicle_orif,,,,
What superficial nerves should you attempt to preserve during the approach to the clavicle?,Supraclavicular nerves,,trauma,,shoulder,clavicle,clavicle_fx,,clavicle_orif,,,,
What defines a floating shoulder?,Ipsilateral clavicle and scapula fractures,,trauma,,shoulder,,floating_shoulder,,,,,,
What radiograph should be obtained in PACU following ORIF of the clavicle?,Chest x-ray,To evaluate for pneumothorax,trauma,,shoulder,clavicle,clavicle_fx,,clavicle_orif,,,,
What is the classiciation for AC joint injuries?,Rockwood Classification,"Rockwood sounds like the name of someone who would casually hang out at the Athletic Club to drink  Type I: AC sprain   Type II: AC ligament tear without CC injury, no displacement   Type III: AC and CC ligaments torn, <100% superior displacement of the clavicle   Type IV: AC and CC ligaments torn, posterior displacement of the clavicle   Type V: AC and CC ligaments torn, >100% superior displacement of the clavicle   Type VI: AC and CC ligaments torn, inferior displacement of the clavicle",trauma,,shoulder,,,,,,,,
What is the classification for scapula fracture?,Ideberg,"Type I: Anterior avulsion Type II: Oblique, exits the glenoid inferiorly Type III: Oblique, exits the glenoid superiorly Type IV: Transverse, exits through the scapular body Type V: Type II + Type IV",trauma,,shoulder,,scapula_fx,,,,,,
What other injuries (2) are highly associated with scapular fractures?,Chest wall injuries Lung contusion,,trauma,,shoulder,,scapula_fx,,,,,,
What is the most widely used classification for proximal humerus fractures?,Neer,Described by the number of parts,trauma,,shoulder,proximal_humerus,proximal_humerus_fx,,,,,,
"With respect to Neer's classification of proximal humerus fractures, what structures (4) are considered parts?",Head Greater tuberosity Lesser tuberosity Humeral shaft,,trauma,,shoulder,proximal_humerus,proximal_humerus_fx,,,,,,
"""With respect to Neer's classification of proximal humerus fractures, what defines a """"part""""?","��45° angulation and/or ��1cm of displacement""",,trauma,,shoulder,proximal_humerus,proximal_humerus_fx,,,,,,
What are the operative indications (3) for proximal humerus fractures?,>5mm of greater tuberosity displacement Head splitting fracture >2-part fracture in young patient,,trauma,,shoulder,proximal_humerus,proximal_humerus_fx,,,,,,
Which nerve is most commonly injured following proximal humerus fractures?,Axillary,,trauma,,shoulder,proximal_humerus,proximal_humerus_fx,,,,,,
What is the classification for AVN of the proximal humerus?,Cruess Classification,"Stage I: Normal on XR, changes on MRI   Stage II: Sclerosis, osteopenia   Stage III: Crescent sign   Stage IV: Flattening and collapse   Stage V: Degenerative changes of the glenoid",trauma,,shoulder,proximal_humerus,proximal_humerus_fx,,,,,,
What fracture characteristic is a good prognostic indicator for maintaining proximal humerus vascularity?,��8mm of intact medial calcar on the articular segment,,trauma,,shoulder,proximal_humerus,proximal_humerus_fx,,,,,,
What is the most common complication of ORIF for proximal humerus fractures?,Screw penetration into the joint,,trauma,,shoulder,proximal_humerus,proximal_humerus_fx,,proximal_humerus_orif,,,,
What is the most common resultant deformity following failed ORIF of proximal humerus fractures?,Varus,,trauma,,shoulder,proximal_humerus,proximal_humerus_fx,,proximal_humerus_orif,,,,
What are the two most common surgical approaches to the proximal humerus?,Deltopectoral Lateral deltoid split,,trauma,,shoulder,proximal_humerus,proximal_humerus_fx,,proximal_humerus_orif,,,,
Which structure is at risk during the lateral deltoid split approach?,Axillary neurovascular bundle,,trauma,,shoulder,,,,,,,,
Shoulder dislocations most commonly occur in which direction?,Anterior,,trauma,,shoulder,,shoulder_dislocation,,,,,,
Seizures and electrocution injuries are associated with shoulder dislocations in which direction?,Posterior,,trauma,,shoulder,,shoulder_dislocation,,,,,,
"Internal rotators of the shoulder are stronger than the external rotators, which leaves the shoulder more susceptible to dislocation in which direction?",Posterior,"Overall, anterior dislocation is more common, but these mechanisms in theory increase chance of posterior dislocation.   Internal rotators: Latissimus dorsi and pectoralis major External rotators: Infraspinatus and teres minor",trauma,,shoulder,,shoulder_dislocation,,,,,,
Persistent abduction of the arm is suggestive of a shoulder dislocation in which direction?,Inferior,Inferior shoulder dislocations AKA Luxatio Erecta,trauma,,shoulder,,shoulder_dislocation,,,,,,
What patient factor is most associated with the risk of recurent shoulder dislocations?,Patient age,<20 years old - 90% chance of redislocation,trauma,,shoulder,,shoulder_dislocation,,,,,,
What associated injury should be expected in elderly patients with a shoulder dislocation?,Rotator cuff tear,,trauma,,shoulder,,shoulder_dislocation,,,,,,
What associated injury should be expected in younger patients with a shoulder dislocation?,Instability (ie. Bankart lesions),,trauma,,shoulder,,shoulder_dislocation,,,,,,
What humeral sided radiographic finding may be seen following a shoulder dislocation?,Hill Sachs lesion,,trauma,,shoulder,,shoulder_dislocation,,,,,,
Where on the humeral head are Hill Sachs lesions found?,Posterosuperior,,trauma,,shoulder,,shoulder_dislocation,,,,,,
What is the most common nerve injury following a shoulder dislocation?,Axillary neuropraxia,,trauma,,shoulder,,shoulder_dislocation,,,,,,
How are rotator cuff tear sizes classified?,DeOrio and Colfield Classification,Small: <1 cm Medium: 1-3 cm Large: 3-5 cm Massive: >5 cm or ≥2 tendons involved,sports,,shoulder,rotator_cuff,rotator_cuff_tear,,,,,,
How is rotator cuff atrophy classified?,Goutallier Classification,Grade 0: Normal Grade I: Fatty streaking Grade II: More muscle than fat Grade III: Equal amounts of fat and muscle Grade IV: More fat than muscle,sports,,shoulder,rotator_cuff,rotator_cuff_tear,,,,,,
What is the classification for the shape of the acromion?,Bigliani Classification,Type I: Flat Type II: Curved Type III: Hooked,sports,,shoulder,,,,,,,,
The standard anterior portal during shoulder arthroscopy enters the joint through which anatomic area?,Rotator interval,"Rotator interval structures: capsule, coracohumeral ligament, long head of biceps tendon, superior glenohumeral joint",sports,,shoulder,,,,shoulder_arthroscopy,,,,
Medial subluxation of the long head of the biceps tendon is associated with what pathology?,Subscapularis tendon tear,,sports,,shoulder,rotator_cuff,rotator_cuff_tear,,,,,,
What physical exam tests are used to evaluate each muscle of the rotator cuff?,"Supraspinatus (2): Empty can test, drop arm test Infraspinatus: External rotation test Teres minor: Hornblowers test Subscapularis (2): Belly press, lift off test",,sports,,shoulder,rotator_cuff,rotator_cuff_tear,,,,,,
What is the rate limiting step in recovery following arthroscopic rotator cuff repair?,Healing of the repaired tendon to the humerus,,sports,,shoulder,rotator_cuff,rotator_cuff_tear,,shoulder_arthroscopy,,,,
What is rotator cuff arthropathy?,Degenerative joint disease secondary to rotator cuff insufficiency,,sports,,shoulder,rotator_cuff,rotator_cuff_tear,,,,,,
What radiographic finding is suggestive of rotator cuff arthropathy?,Superior head migration,,sports,,shoulder,rotator_cuff,rotator_cuff_tear,,,,,,
What procedure can be performed for an irreparable rotator cuff tear to help prevent superior migration of the humeral head?,Superior Capsular Reconstruction (SCR),,sports,,shoulder,rotator_cuff,rotator_cuff_tear,,superior_capsular_reconstruction,,,,
How does failure of a rotator cuff repair most commonly occur?,Tissue pulls out of the suture,,sports,,shoulder,rotator_cuff,rotator_cuff_tear,,,,,,
What is a PASTA lesion?,Partial Articular Supraspinatus Tendon Avulsion,,sports,,shoulder,rotator_cuff,rotator_cuff_tear,,,,,,
What is a Mumford procedure?,Distal clavicle excision,,sports,,shoulder,,,,mumford_procedure,,,,
"When performing a mumford procedure, how much distal clavicle may be removed without introducing instability?",1 cm,,sports,,shoulder,,,,mumford_procedure,,,,
What structure should be preserved when performing a Mumford procedure?,Posterior and superior AC ligaments,,sports,,shoulder,,,,mumford_procedure,,,,
How are SLAP lesions classified?,Snyder Classification,"Type I : Fraying of the superior labrum with an intact bicep anchor   Type II: Detachment of the superior labrum and biceps anchor   Type III: Bucket-handle tear of the superior labrum with an intact bicep anchor   Type IV: Bucket-handle tear of the superior labrum with extension into bicep tendon, anch",sports,,shoulder,labrum,labral_tear_shoulder,,,,,,
What is a SLAP lesion?,Superior Labral tear - Anterior to Posterior,,sports,,shoulder,labrum,labral_tear_shoulder,,,,,,
Which type of SLAP tear is most common?,Type II,Type I : Fraying of the superior labrum with an intact bicep anchor   Type II: Detachment of the superior labrum and biceps anchor   Type III: Bucket-handle tear of the superior labrum with an intact bicep anchor   Type IV: Bucket-handle tear of the superior labrum with extension into bicep anchor,sports,,shoulder,labrum,labral_tear_shoulder,,,,,,
"Though controversial, patients less than what age are generally candidates for SLAP repairs?",<40 years old,"Generally speaking, patients >40 years old undergo bicep tenodesis or tenotomy rather than SLAP repair.   Biceps Tenodesis https://www.youtube.com/watch?v=WnlmaE5z9h0   Biceps Tenotomy https://www.youtube.com/watch?v=provNacR8BE",sports,,shoulder,labrum,labral_tear_shoulder,,SLAP_repair,,,,
