question,answer,additional_info,metadata.specialty,metadata.specialty2,metadata.region,metadata.subregion,metadata.diagnosis,metadata.diagnosis2,metadata.diagnosis3,metadata.diagnosis4,metadata.diagnosis5,metadata.procedure
Hypophosphatemic rickets is associated with what genetic defect? What is its inheritance?,PHEX; X-linked dominant,,peds,basicscience,non-anatomic,,rickets,,,,,
Leri-Weill dyschondrosteosis is associated with what genetic defect? What is its inheritance?,SHOX; X-linked dominant,,peds,basicscience,non-anatomic,,leri_weill_dyschondrosteosis,,,,,
PHEX is associated what genetic syndrome? What is its inheritance?,Hypophosphatemic rickets; X-linked dominant,,peds,basicscience,non-anatomic,,rickets,,,,,
SHOX is associated what genetic syndrome? What is its inheritance?,Leri-Weill dyschondrosteosis; X-linked dominant,,peds,basicscience,non-anatomic,,leri_weill_dyschondrosteosis,,,,,
McCune-Albright syndrome is associated with what genetic defect? What is its inheritance?,Gsalpha subunit of the receptor/adenylyl cyclase-coupling G proteins; Sporadic,,peds,basicscience,non-anatomic,,mccune_albright_syndrome,,,,,
What is the translocation in synovial sarcoma?,T(X:18),,onc,basicscience,non-anatomic,,synovial_sarcoma,,,,,
What is the translocation in Ewing Sarcoma?,T(11:22),,onc,basicscience,non-anatomic,,ewing_sarcoma,,,,,
What is the translocation in rhabdomyosarcoma?,t(2:13),,onc,basicscience,non-anatomic,,rhabdomyosarcoma,,,,,
What is the translocation in myxoid liposarcoma?,t(12:16),,onc,basicscience,non-anatomic,,myxoid_liposarcoma,,,,,
What is the translocation in clear cell sarcoma?,t(12:22),,onc,basicscience,non-anatomic,,clear_cell_sarcoma,,,,,
What is the translocation in myxoid chondrosarcoma?,"t(9,22)",,onc,basicscience,non-anatomic,,myxoid_chondrosarcoma,,,,,
t(X:18) translocations cause what sarcoma?,synovial sarcoma,,onc,basicscience,non-anatomic,,synovial_sarcoma,,,,,
t(11:22) translocations cause what sarcoma?,Ewing sarcoma,,onc,basicscience,non-anatomic,,ewing_sarcoma,,,,,
t(2:13) translocations cause what sarcoma?,rhabdomyosarcoma,,onc,basicscience,non-anatomic,,rhabdomyosarcoma,,,,,
t(12:16) translocations cause what sarcoma?,myxoid liposarcoma,,onc,basicscience,non-anatomic,,myxoid_liposarcoma,,,,,
t(12:22) translocations cause what sarcoma?,clear cell sarcoma,,onc,basicscience,non-anatomic,,clear_cell_sarcoma,,,,,
"t(9,22) translocations cause what sarcoma?",myxoid chrondrosarcoma,,onc,basicscience,non-anatomic,,myxoid_chondrosarcoma,,,,,
What is the most common risk factor for necrotizing fasciitis?,Diabetes,,basicscience,,non-anatomic,,necrotizing_fascitis,,,,,
Necrotizing fasciitis in healthy individuals is most commonly caused by what bacteria?,Group A beta-hemolytic strep,,basicscience,,non-anatomic,,necrotizing_fascitis,,,,,
How long does it take C-reactive protein to dissipate after effective treatment?,about 1 week,,basicscience,,non-anatomic,,,,,,,
What are the 3 most common causes of osteomyelitis (in order) in patients aged 0-4 months?,"S. aureus, gram-negative bacilli, group B strep",,peds,,non-anatomic,,osteomyelitis,,,,,
What are the 2 most common causes of osteomyelitis (in order) in patients aged 4 months to 21 years?,"S. aureus, Group A strep",,peds,,non-anatomic,,osteomyelitis,,,,,
What is the most common cause of epiphyseal osteomyelitis?,S. aureus,,peds,,non-anatomic,,osteomyelitis,,,,,
What are the 2 most common causes of osteomyelitis (in order) in patients aged greater than 21 years of age?,"S. aureus, coagulase-negative strep",,general,,non-anatomic,,osteomyelitis,,,,,
What are the 2 most common causes of osteomyelitis (in order) in patients with sickle cell disease?,"S. aureus, Salmonella",,general,,non-anatomic,,osteomyelitis,,,,,
What are the 3 most common causes of osteomyelitis (in order) in patients with open fractures?,"S. aureus, P aeruginosa, gram-negative bacilli",,trauma,,non-anatomic,,osteomyelitis,,,,,
What is the most common cause of osteomyelitis in patients with diabetes?,Polymicrobial (both aerobic and anaerobic),,footankle,,foot,,osteomyelitis,,,,,
What are the 3 most common causes of osteomyelitis (in order) in intravenous drug users?,"S. aureus, serratia spp, pseudomonas spp.",,general,,non-anatomic,,osteomyelitis,,,,,
What organism is associated with osteomyelitis in meat handlers?,Brucella spp.,,general,,hand,,osteomyelitis,,,,,
What organism is associated with osteomyelitis in fisherman?,Mycobacterium spp.,,general,,non-anatomic,,osteomyelitis,,,,,
What is a sequestrum? What is it seen in?,dead bone with surrounding granulation tissue; osteomyelitis,,basicscience,,non-anatomic,,osteomyelitis,,,,,
What is involucrum? What is it associated with?,Periosteal new bone; osteomyelitis,,trauma,,non-anatomic,,osteomyelitis,,,,,
What is the most common causative organism of septic arthritis in sexually active patients?,Neisseria gonorrhoeae,,general,,non-anatomic,,septic_arthritis,,,,,
What is the most common causative organism of septic arthritis in non-sexually active patients?,S. aureus,,general,,non-anatomic,,septic_arthritis,,,,,
When should tetanus immune globulin be given to patients with open wounds?,When the tetanus status is unknown or the patient has received fewer than 3 immunizations.,,trauma,,non-anatomic,,open_fx,,,,,
When should tetanus toxoid be given to patients with open wounds?,severe wound or the wound occured more than 24 hours previously and the patient has received no booster vaccination within the previous 5 years.,,trauma,,non-anatomic,,open_fx,,,,,
What is the mechanism of action of beta-lactam antiobiotics (penicillin and cephalosporins)?,inhibit cross-linking of polysaccarhids in the cell wall by blocking transpeptidase enzyme.,,basicscience,,non-anatomic,,,,,,,
What is the mechanism of action of vancomycin?,Interferes with the insertion of glycan subunits into the cell wall,,basicscience,,non-anatomic,,,,,,,
What is the mechanism of action of rifampin?,Inhibits RNA polymerase F,,basicscience,,non-anatomic,,,,,,,
What is the mechanism of action of clindamycin?,binds to 50S ribosomal subunits and inhibits protein synthesis,,basicscience,,non-anatomic,,,,,,,
What is the mechanism of action of quinolones (ciprofloxacin)?,Inhibits DNA gyrase,,basicscience,,non-anatomic,,,,,,,
What gene does MRSA have that gives it resistance? What doe it produce and do?,mecA produces the enzyme penicillin-biding protein 2a (PBP 2a) which prevents the normal enzymatic acylation of antibiotics,,basicscience,,non-anatomic,,,,,,,
What is Virchow's triad?,"enodthelial damage, venous stasis, hypercoagulability",,basicscience,,non-anatomic,,,,,,,
What protein triggers the coagulation cascade?,Tissue factor (thromboplastin),,basicscience,,non-anatomic,,,,,,,
What is the mechanism of action of wafarin?,Inhibits the posttranslational modification of bitamin K-dependent clotting factors.,,basicscience,,non-anatomic,,,,,,,
What are the vitamin K-dependent clotting factors?,"Factors X, IX, VII, II; proteins C and S",,basicscience,,non-anatomic,,,,,,,
What clinical triad is seen in fat embolism? What can you do to decrease the incidence?,"hypoxemia, CNS depression, and petechia; stabilize the fracture",,trauma,,non-anatomic,,fat_embolism,,,,,
What is the inheritance pattern of malignant hyperthermia?,Autosomal dominant,,basicscience,,non-anatomic,,malignant_hyperthermia,,,,,
Which 3 agents can trigger malignant hyperthermia?,"""Inhalational (""""-ane"""") agents, amide-based local anesthetics, and depolarizing muscle relaxants (succinylcholine)""",,basicscience,,non-anatomic,,malignant_hyperthermia,,,,,
What are the first 2 signs of malignant hyperthermia?,increased end-tidal CO2 and tachycardia,,basicscience,,non-anatomic,,malignant_hyperthermia,,,,,
What is malignant hyperthermia treated with? What is its mechanism?,dantrolene sodium; blocks calcium release by stabilizing the sacroplasmic reticulum,,basicscience,,non-anatomic,,malignant_hyperthermia,,,,,
What enzyme do NSAIDs inhibit? What does it do?,COX; COX is involved in forming prostaglandins from arachidonic acid,,basicscience,,non-anatomic,,,,,,,
What the 3 most important risk factors for gastrointenstinal complications when taking NSAIDs?,"Concurrent anticoagulant use, age older than 60, and history of previous GI disease.",,basicscience,,non-anatomic,,,,,,,
What 3 supplements/herbs can increase the risk of bleeding in the perioperative period?,"Garlic, Ginkgo biloba, and ginseng",,basicscience,,non-anatomic,,,,,,,
What 4 things appear dark on T1 and bright on T2?,"water, CSF, acute hemorrhage, soft tissue tumors",,basicscience,,non-anatomic,,,,,,,
Define force in orthopaedics.,"In orthopaedics, force is a mechanical push or pull (load) causing external (acceleration) and internal (strain) effects.",,basicscience,,non-anatomic,,,,,,,
What is the definition of moment in orthopaedics?,The moment is the rotation effect of force.,,basicscience,,non-anatomic,,,,,,,
What is the definition of mass moment of inertia?,It is the resistance to rotation.,,basicscience,,non-anatomic,,,,,,,
Define stress. What is its equation and unit of measure?,Stress is the instensity of internal force. Stress = force/area. Unit: pascal (N/m2),,basicscience,,non-anatomic,,,,,,,
Define strain. What is its equation?,Strain is a measure of deformation resulting from loading. Strain = change in length/original length,,basicscience,,non-anatomic,,,,,,,
What is Young's modulus of elasticity? What is it's equation?,"A measure of material stiffness, the ability to resist deformation in tension. E = stress/strain. Higher E withstand greater forces before deforming.",,basicscience,,non-anatomic,,,,,,,
What is the definition of strain energy?,"Strain energy is the capacity of a material to absorb energy before failure, also known as toughness.",,basicscience,,non-anatomic,,,,,,,
What are the characteristics of brittle material types in orthopaedics?,"Brittle materials, such as PMMA, have a linear stress-strain curve with limited capacity for plastic deformation.",,basicscience,,non-anatomic,,,,,,,
What are ductile material types?,"Ductile materials are those that can undergo large plastic deformation before failure, such as metal.",,basicscience,,non-anatomic,,,,,,,
What are viscoelastic material types and what are their characteristics?,"Viscoelastic materials are those that exhibit time and rate dependent stress-strain behavior and demonstrate hysteresis, meaning their loading and unloading curves differ. Examples of such materials include bone, ligaments, and various biological tissues.",,basicscience,,non-anatomic,,,,,,,
What is the definition of isotropic material types in orthopaedics?,"Isotropic material types are those in which the mechanical properties are the same for all directions of applied load, such as a golf ball.",,basicscience,,non-anatomic,,,,,,,
What are anisotropic material types?,"Anisotropic material types are those in which mechanical properties vary with the direction of the applied load. An example is bone, which is stronger with an axial load than with a radial load.",,basicscience,,non-anatomic,,,,,,,
What occurs when dissimilar metals are in direct contact?,Galvanic corrosion,,basicscience,,non-anatomic,,,,,,,
Risk of galvanic corrosion is highests between what 2 metals?,316L stainless steel and cobalt-chromium (Co-Cr) alloy,,basicscience,,non-anatomic,,,,,,,
Define joint reaction force.,Joint reaction force is the force generated within a joint in response to an external force.,,basicscience,,non-anatomic,,,,,,,
The hip should be fused in what position?,"25-30 degrees of flexion, 0 degrees of abduction and rotation",,recon,,hip,,,,,,,hip_arthrodesis
The knee should be fused in what position?,"0-7 degrees of valgus, 10-15 degrees of flexion",,sports,,knee,,,,,,,knee_arthrodesis
The ankle should be fused in what position?,"neutral dorsiflexion, 5-10 degrees of external rotation, 5 degrees of hindfoot valgus",,footankle,,ankle,,,,,,,ankle_arthrodesis
The shoulder should be fused in what position?,"15-20 degrees of abduction, 20-25 degrees of forward flexion, 40-50 degrees of internal rotation.",,shoulderelbow,,shoulder,,,,,,,shoulder_arthrodesis
The elbow should be fused in what position if unilateral?,90 degrees of flexion.,,shoulderelbow,,elbow,,,,,,,elbow_arthrodesis
The elbow should be fused in what position if bilateral?,"One elbow at 110 degrees of flexion for the hand to reach the mouth, the other elbow at 65 degrees of flexion for perineal hygiene.",,shoulderelbow,,elbow,,,,,,,elbow_arthrodesis
The wrist should be fused in what position if unilateral?,10-20 degrees of extension,,hand,,wrist,,,,,,,wrist_arthrodesis
In what position should the wrist be fused if bilateral?,"One wrist should be 10-20 degrees extended, the other 10-20 degrees flexed.",,hand,,wrist,,,,,,,wrist_arthrodesis
What are the prognostic factors in bone tumor staging in order?,"metastases, discontinuous tumor, grade, and size",,onc,,non-anatomic,,,,,,,
What are the prognostic factors in soft tissue staging in order?,"metastases, grade, size, depth",,onc,,non-anatomic,,,,,,,
What is the most common site of mets from bone and soft tissues sarcomas?,The lung,,onc,,non-anatomic,,,,,,,
What 2 BONE cancers is chemotherapy most commonly used for in limb salvage surgery?,Osteosarcoma and ewing sarcoma,,onc,,non-anatomic,,,,,,,
What 2 soft tissues tumors is chemotherapy used for?,Rhabdomyosarcoma and synovial sarcoma,,onc,,non-anatomic,,,,,,,
What cancers are radiation alone used for (4)?,"metastatic bone disease, lymphoma, myeloma, selected cases of Ewing sarcoma",,onc,,non-anatomic,,,,,,,
What are 2 complications of radiation therapy?,late stress fracture and postirradiation sarcoma,,onc,,non-anatomic,,,,,,,
Compare/contrasts pre- and post-operative external beam radiation: 1)local control rates? 2)wound complications? 3)fibrosis?,1) pre and postop have equal local control rates 2) Postop has lower rate of wound complications 3) Post-op has higher incidence of fibrosis,,onc,,non-anatomic,,,,,,,
What bone cancers are wide excision alone used for (4)?,"chondrosarcoma, adamantinoma, parosteal osteosarcoma, chordoma",,onc,,non-anatomic,,,,,,,
