#separator:tab
#html:true
#tags column:12
<div><div><div><b>McCune-Albright syndrome</b> is due to a mutation affecting {{c1::Gs-protein}} signaling</div><div><br></div><div><br></div></div></div>		Seen in mosacism				"<img src=""tmp5SPRJp_1566160514431.png""><br><img src=""tmpleGToH_1566160514431.png"">"	"<img src=""paste-97efce2b775ba0d409ae10a46538937ad9516f91.jpg"">"				"#AK_Step1_v9::#B&B::10_Genetics::01_Concepts::01_Genetic_Principles #AK_Step1_v9::#FirstAid::01_Biochem::04_Genetics::01_Genetic_terms #AK_Step1_v9::#Pixorize::02_Biochem::25_Misc::05_McCune-Albright_Syndrome #AK_Step1_v9::#SketchyPath::07_Endocrine::01_Hypothalamic_&_Pituitary_Disorders::03_Hyperpituitarism #AK_Step1_v9::#UWorld::11653 #AK_Step1_v9::^HighYield::2-RelativelyHighYield #AK_Step1_v9::Biochem::genetics Ortho::Clerkships::Onc"
<div>Do the symptoms of <b>myasthenia gravis</b> <u>improve</u> with administration of an <b>AChE inhibitor</b> (e.g. edrophonium)? </div><div><br /></div><div>{{c1::Yes}}</div>	"<img src=""paste-382591391760651.jpg"" />"					"<img src=""tmp8HsF3R_1566160514431.png""><br/>"	"<img src=""paste-48975512078178.jpg""><br><img src=""tmpnV54Vf_1566160514431-4d0d55aa4773365eee8df3011171ac7043040f6f.png"">"				"#AK_Step1_v9::!FLAG_THESE_CARDS::Potential_duplicate #AK_Step1_v9::#B&B::14_MSK::03_Pathology::11_Neuromuscular_Disorders #AK_Step1_v9::#FirstAid::11_MSK,_Skin,_&_Connective::02_Pathology::28_Neuromuscular_junction_diseases #AK_Step1_v9::#FirstAid::11_MSK,_Skin,_&_Connective::02_Pathology::28_Neuromuscular_junction_diseases::myasthenia_gravis #AK_Step1_v9::#Pathoma::18_MSK::04_Skeletal_Muscle #AK_Step1_v9::#Pathoma::18_MSK::04_Skeletal_Muscle::NMJ #AK_Step1_v9::#SketchyPath::12_MSK_&_Derm::03_Muscle::02_Myasthenia_Gravis_&_Lambert-Eaton_Myasthenic_Syndrome #AK_Step1_v9::Musculoskeletal::Pathology #AK_Step2_v4::!Shelf::Neuro::no_dupes #AK_Step2_v4::#OME::10_Neurology::09_Weakness #AK_Step2_v4::#Resources::Neuro::uw::zanki #AK_Step2_v4::OG_decks::Zanki_Step_2::Neuro::UW_Neuro"
<div><div><i><div></div></i></div><div>What endogenous protein that binds to RANKL released by Osteoblasts does <b>Denosumab</b> act like?</div></div><div><br></div><div>{{c1::<b>osteoprotegerin</b>}}<div><br></div></div>	"<i><div></div></i><div><i><img src=""paste-419455096061953.jpg""><br></i><div><i>During bone remodeling, <b>osteoprotegerin</b> is released by Osteoblasts during times of <b>bone formation </b>so as to prevent bone resorption (by preventing RANKL from stimulating osteoclast precursors to maturation) from occuring while osteoid is being laid down</i></div></div>"										"#AK_Step1_v7::#FirstAid::02_Immunology::04_Immunosuppressants::04_Therapeutic_antibodies #AK_Step1_v7::#SketchyPharm::05_GI_&_Endocrine::03_Thyroid,_Parathyroid_&_Adrenal::02_Bisphosphonates,_raloxifene,_denosumab,_calcitonin #AK_Step1_v7::#SketchyPharm::08_Antineoplastics::Cancer_Immunotherapy #AK_Step1_v7::^EXPN #AK_Step1_v7::Endocrine::Pharmacology #AK_Step1_v9::#FirstAid::02_Immunology::04_Immunosuppressants::04_Therapeutic_antibodies #AK_Step1_v9::#SketchyPharm::05_GI_&_Endocrine::03_Thyroid,_Parathyroid_&_Adrenal::02_Bisphosphonates,_raloxifene,_denosumab,_calcitonin #AK_Step1_v9::#SketchyPharm::08_Antineoplastics::Cancer_Immunotherapy #AK_Step1_v9::^EXPN #AK_Step1_v9::Endocrine::Pharmacology"
A knee exam should be performed with the patient in the {{c1::supine}} position											"#AK_Step1_v7::#B&B::14_MSK::01_Anatomy_&_Orthopedics::01_Knee #AK_Step1_v7::#FirstAid::11_MSK,_Skin,_&_Connective::01_Anatomy_&_Physiology::10_Knee_exam #AK_Step1_v7::#Physeo::02_Anatomy::08_MSK::09_Knee_Ligaments_&_Menisci #AK_Step1_v7::Musculoskeletal::Anatomy #AK_Step1_v9::#B&B::14_MSK::01_Anatomy_&_Orthopedics::01_Knee #AK_Step1_v9::#FirstAid::11_MSK,_Skin,_&_Connective::01_Anatomy_&_Physiology::10_Knee_exam #AK_Step1_v9::#Physeo::02_Anatomy::08_MSK::09_Knee_Ligaments_&_Menisci #AK_Step1_v9::Musculoskeletal::Anatomy"
A positive anterior drawer sign demonstrates <b>increased {{c1::anterior gliding}}</b> of the {{c1::tibia}}	"<img src=""paste-16080357556225 (1).jpg"" />"										"#AK_Step1_v9::#B&B::14_MSK::01_Anatomy_&_Orthopedics::01_Knee #AK_Step1_v9::#FirstAid::11_MSK,_Skin,_&_Connective::01_Anatomy_&_Physiology::10_Knee_exam #AK_Step1_v9::#Physeo::02_Anatomy::08_MSK::09_Knee_Ligaments_&_Menisci #AK_Step1_v9::Musculoskeletal::Anatomy"
The {{c2::Lachman}} test is similar to the anterior drawer test, but the knee is at a {{c1::30}} degree angle.	This is more <b>sensitive </b>than the anterior drawer sign										"#AK_Step1_v9::#B&B::14_MSK::01_Anatomy_&_Orthopedics::01_Knee #AK_Step1_v9::#FirstAid::11_MSK,_Skin,_&_Connective::01_Anatomy_&_Physiology::10_Knee_exam #AK_Step1_v9::#Physeo::02_Anatomy::08_MSK::09_Knee_Ligaments_&_Menisci #AK_Step1_v9::Musculoskeletal::Anatomy"
A positive posterior drawer sign shows increased {{c1::posterior gliding}} of the {{c1::tibia}}.	"<img src=""paste-21672404975617.jpg"" />"										"#AK_Step1_v9::#B&B::14_MSK::01_Anatomy_&_Orthopedics::01_Knee #AK_Step1_v9::#FirstAid::11_MSK,_Skin,_&_Connective::01_Anatomy_&_Physiology::10_Knee_exam #AK_Step1_v9::#Physeo::02_Anatomy::08_MSK::09_Knee_Ligaments_&_Menisci #AK_Step1_v9::Musculoskeletal::Anatomy"
The {{c1::Valgus}} test is <u>most commonly</u> used to identify {{c2::MCL}} injury	"<img src=""paste-21771189223425.jpg"" /> <div><i>apply a valgus force to the knee</i></div>"										"#AK_Step1_v9::#B&B::14_MSK::01_Anatomy_&_Orthopedics::01_Knee #AK_Step1_v9::#FirstAid::11_MSK,_Skin,_&_Connective::01_Anatomy_&_Physiology::10_Knee_exam #AK_Step1_v9::#Physeo::02_Anatomy::08_MSK::09_Knee_Ligaments_&_Menisci #AK_Step1_v9::Musculoskeletal::Anatomy"
The {{c1::Valgus}} test is performed with the knee at a {{c2::30}} degree angle while a {{c3::lateral}} {{c1::(valgus)}} force is applied	"The purpose here is to test <b>MCL </b>strength<br /><div><br /></div><div><img src=""paste-21766894256129.jpg"" /></div>"										"#AK_Step1_v7::#B&B::14_MSK::01_Anatomy_&_Orthopedics::01_Knee #AK_Step1_v7::#FirstAid::11_MSK,_Skin,_&_Connective::01_Anatomy_&_Physiology::10_Knee_exam #AK_Step1_v7::#Physeo::02_Anatomy::08_MSK::09_Knee_Ligaments_&_Menisci #AK_Step1_v7::Musculoskeletal::Anatomy #AK_Step1_v9::#B&B::14_MSK::01_Anatomy_&_Orthopedics::01_Knee #AK_Step1_v9::#FirstAid::11_MSK,_Skin,_&_Connective::01_Anatomy_&_Physiology::10_Knee_exam #AK_Step1_v9::#Physeo::02_Anatomy::08_MSK::09_Knee_Ligaments_&_Menisci #AK_Step1_v9::Musculoskeletal::Anatomy"
An abnormal {{c1::Valgus}} test shows increased {{c2::medial space widening}} of the tibia	"<div>indicates MCL injury</div><img src=""paste-21766894256129.jpg"" />"										"#AK_Step1_v9::#B&B::14_MSK::01_Anatomy_&_Orthopedics::01_Knee #AK_Step1_v9::#FirstAid::11_MSK,_Skin,_&_Connective::01_Anatomy_&_Physiology::10_Knee_exam #AK_Step1_v9::#Physeo::02_Anatomy::08_MSK::09_Knee_Ligaments_&_Menisci #AK_Step1_v9::Musculoskeletal::Anatomy"
The {{c1::Varus}} test is used to identify {{c2::LCL}} injury.	"rare to see this injury in isolation<div><img src=""paste-22153441312769.jpg""></div>"										"#AK_Step1_v9::#B&B::14_MSK::01_Anatomy_&_Orthopedics::01_Knee #AK_Step1_v9::#FirstAid::11_MSK,_Skin,_&_Connective::01_Anatomy_&_Physiology::10_Knee_exam #AK_Step1_v9::#Physeo::02_Anatomy::08_MSK::09_Knee_Ligaments_&_Menisci #AK_Step1_v9::Musculoskeletal::Anatomy"
The {{c1::Varus}} test is performed with the knee at a {{c2::30}} degree angle while a {{c3::medial}} {{c1::(varus)}} force is applied	"<img src=""paste-27964532064257.jpg"" /><div><img src=""varus.jpg"" /></div>"										"#AK_Step1_v7::#B&B::14_MSK::01_Anatomy_&_Orthopedics::01_Knee #AK_Step1_v7::#FirstAid::11_MSK,_Skin,_&_Connective::01_Anatomy_&_Physiology::10_Knee_exam #AK_Step1_v7::#Physeo::02_Anatomy::08_MSK::09_Knee_Ligaments_&_Menisci #AK_Step1_v7::Musculoskeletal::Anatomy #AK_Step1_v9::#B&B::14_MSK::01_Anatomy_&_Orthopedics::01_Knee #AK_Step1_v9::#FirstAid::11_MSK,_Skin,_&_Connective::01_Anatomy_&_Physiology::10_Knee_exam #AK_Step1_v9::#Physeo::02_Anatomy::08_MSK::09_Knee_Ligaments_&_Menisci #AK_Step1_v9::Musculoskeletal::Anatomy"
 An abnormal {{c1::Varus}} test shows increased {{c2::lateral space widening}} of the tibia	"<div>indicates LCL injury</div><img src=""paste-27960237096961.jpg"" />"										"#AK_Step1_v9::#B&B::14_MSK::01_Anatomy_&_Orthopedics::01_Knee #AK_Step1_v9::#FirstAid::11_MSK,_Skin,_&_Connective::01_Anatomy_&_Physiology::10_Knee_exam #AK_Step1_v9::#Physeo::02_Anatomy::08_MSK::09_Knee_Ligaments_&_Menisci #AK_Step1_v9::Musculoskeletal::Anatomy"
The {{c1::McMurray}} test is used to identify injury to the {{c2::meniscus (of the knee)}}.	"<img src=""paste-30124900614145.jpg"" />"										"#AK_Step1_v9::#B&B::14_MSK::01_Anatomy_&_Orthopedics::01_Knee #AK_Step1_v9::#FirstAid::11_MSK,_Skin,_&_Connective::01_Anatomy_&_Physiology::10_Knee_exam #AK_Step1_v9::#Physeo::02_Anatomy::08_MSK::09_Knee_Ligaments_&_Menisci #AK_Step1_v9::Musculoskeletal::Anatomy"
The {{c1::<b>McMurray</b>}} <b>test</b> is performed by<div><br /></div><div>1) {{c2::<b>full flexion</b>}} of the knee</div><div>2) followed by {{c2::<u>extension</u>}} of the knee with {{c3::<b>rotation of the tibia</b>}} and <u>pressure</u> on the {{c3::<b>opposite</b>}} side of the knee you want to test</div>	"<img src=""paste-30120605646849.jpg"" />"										"#AK_Step1_v7::#B&B::14_MSK::01_Anatomy_&_Orthopedics::01_Knee #AK_Step1_v7::#FirstAid::11_MSK,_Skin,_&_Connective::01_Anatomy_&_Physiology::10_Knee_exam #AK_Step1_v7::#Physeo::02_Anatomy::08_MSK::09_Knee_Ligaments_&_Menisci #AK_Step1_v7::Musculoskeletal::Anatomy #AK_Step1_v9::#B&B::14_MSK::01_Anatomy_&_Orthopedics::01_Knee #AK_Step1_v9::#FirstAid::11_MSK,_Skin,_&_Connective::01_Anatomy_&_Physiology::10_Knee_exam #AK_Step1_v9::#Physeo::02_Anatomy::08_MSK::09_Knee_Ligaments_&_Menisci #AK_Step1_v9::Musculoskeletal::Anatomy"
"A positive McMurray test is characterized by {{c1::pain and ""popping""}} on extension (with rotation and side of the knee pressure)"	"<img src=""paste-32431298052097.jpg"" />"										"#AK_Step1_v7::#B&B::14_MSK::01_Anatomy_&_Orthopedics::01_Knee #AK_Step1_v7::#FirstAid::11_MSK,_Skin,_&_Connective::01_Anatomy_&_Physiology::10_Knee_exam #AK_Step1_v7::#Physeo::02_Anatomy::08_MSK::09_Knee_Ligaments_&_Menisci #AK_Step1_v7::Musculoskeletal::Anatomy #AK_Step1_v9::#B&B::14_MSK::01_Anatomy_&_Orthopedics::01_Knee #AK_Step1_v9::#FirstAid::11_MSK,_Skin,_&_Connective::01_Anatomy_&_Physiology::10_Knee_exam #AK_Step1_v9::#Physeo::02_Anatomy::08_MSK::09_Knee_Ligaments_&_Menisci #AK_Step1_v9::Musculoskeletal::Anatomy"
A {{c1::<b>greenstick</b>}} fracture is a(n) {{c2::incomplete}} fracture through the width of the bone following {{c3::bending stress}}	"Bone is bent like a <b>green twig</b>.<div><img src=""paste-33487860006913.jpg"" /></div>"										"#AK_Step1_v7::#B&B::14_MSK::01_Anatomy_&_Orthopedics::04_Wrist #AK_Step1_v7::#FirstAid::11_MSK,_Skin,_&_Connective::02_Pathology::07_Common_pediatric_fractures #AK_Step1_v7::Musculoskeletal::Anatomy #AK_Step1_v9::#B&B::14_MSK::01_Anatomy_&_Orthopedics::04_Wrist #AK_Step1_v9::#FirstAid::11_MSK,_Skin,_&_Connective::02_Pathology::07_Common_pediatric_fractures #AK_Step1_v9::Musculoskeletal::Anatomy"
"The {{c1::""unhappy triad""}} is a common {{c2::knee}} injury in {{c3::contact}} sports due to {{c4::lateral}} force applied to a {{c5::planted}} leg."	"<div><div><i>Classically, damage to the ACL, MCL, and Medial Meniscus (which is attached to the MCL - but Lateral meniscus injury is more common)</i></div></div><div><i><br></i></div><div><img src=""paste-20512763805697.jpg""></div><div><i><img src=""paste-464401928814593.jpg""></i></div>"										"#AK_Step1_v9::#B&B::14_MSK::01_Anatomy_&_Orthopedics::01_Knee #AK_Step1_v9::#FirstAid::11_MSK,_Skin,_&_Connective::02_Pathology::04_Common_hip_&_knee_conditions #AK_Step1_v9::#Physeo::02_Anatomy::08_MSK::09_Knee_Ligaments_&_Menisci #AK_Step1_v9::Musculoskeletal::Anatomy"
"Although the classic presentation for the ""unhappy triad"" involves {{c1::medial meniscus}} injury, the {{c1::lateral meniscus}} is more commonly injured."	"<div><br /></div><i>Remember <b>BOTH </b>presentations!</i><br /><div><img src=""paste-464397633847297.jpg"" /></div>"										"#AK_Step1_v7::#B&B::14_MSK::01_Anatomy_&_Orthopedics::01_Knee #AK_Step1_v7::#FirstAid::11_MSK,_Skin,_&_Connective::02_Pathology::04_Common_hip_&_knee_conditions #AK_Step1_v7::#Physeo::02_Anatomy::08_MSK::09_Knee_Ligaments_&_Menisci #AK_Step1_v7::Musculoskeletal::Anatomy #AK_Step1_v9::#B&B::14_MSK::01_Anatomy_&_Orthopedics::01_Knee #AK_Step1_v9::#FirstAid::11_MSK,_Skin,_&_Connective::02_Pathology::04_Common_hip_&_knee_conditions #AK_Step1_v9::#Physeo::02_Anatomy::08_MSK::09_Knee_Ligaments_&_Menisci #AK_Step1_v9::Musculoskeletal::Anatomy"
"The ""unhappy triad"" presents with acute {{c1::knee pain}} and {{c2::signs of joint injury/instability}}."	"<br /><div><img src=""paste-464397633847297.jpg"" /></div>"										"#AK_Step1_v9::#B&B::14_MSK::01_Anatomy_&_Orthopedics::01_Knee #AK_Step1_v9::#FirstAid::11_MSK,_Skin,_&_Connective::02_Pathology::04_Common_hip_&_knee_conditions #AK_Step1_v9::#Physeo::02_Anatomy::08_MSK::09_Knee_Ligaments_&_Menisci #AK_Step1_v9::Musculoskeletal::Anatomy"
{{c1::Prepatellar}} bursitis is an inflammation of the {{c1::prepatellar}} bursa in front of the kneecap	"<br /><div><img src=""paste-464857195347969.jpg"" /></div><div><img src=""paste-396833503313921.jpg"" /></div>"										"#AK_Step1_v7::#B&B::14_MSK::01_Anatomy_&_Orthopedics::01_Knee #AK_Step1_v7::#FirstAid::11_MSK,_Skin,_&_Connective::02_Pathology::04_Common_hip_&_knee_conditions #AK_Step1_v7::#Physeo::02_Anatomy::08_MSK::10_Other_Knee_&_Leg_Conditions #AK_Step1_v7::Musculoskeletal::Anatomy #AK_Step1_v9::#B&B::14_MSK::01_Anatomy_&_Orthopedics::01_Knee #AK_Step1_v9::#FirstAid::11_MSK,_Skin,_&_Connective::02_Pathology::04_Common_hip_&_knee_conditions #AK_Step1_v9::#Physeo::02_Anatomy::08_MSK::10_Other_Knee_&_Leg_Conditions #AK_Step1_v9::Musculoskeletal::Anatomy"
Prepatellar bursitis can be caused by {{c1::repeated trauma}} or pressure from {{c2::excessive kneeling}}	"<br /><div><img src=""paste-464852900380673.jpg"" /></div>"										"#AK_Step1_v9::#AMBOSS::Musculoskeletal #AK_Step1_v9::#B&B::14_MSK::01_Anatomy_&_Orthopedics::01_Knee #AK_Step1_v9::#FirstAid::11_MSK,_Skin,_&_Connective::02_Pathology::04_Common_hip_&_knee_conditions #AK_Step1_v9::#Physeo::02_Anatomy::08_MSK::10_Other_Knee_&_Leg_Conditions #AK_Step1_v9::Musculoskeletal::Anatomy"
"{{c1::Prepatellar bursitis}} is also know as {{c2::""housemaid's knee.""}}"	"<br /><div><img src=""paste-464852900380673.jpg"" /></div>"										"#AK_Step1_v9::#AMBOSS::Musculoskeletal #AK_Step1_v9::#B&B::14_MSK::01_Anatomy_&_Orthopedics::01_Knee #AK_Step1_v9::#FirstAid::11_MSK,_Skin,_&_Connective::02_Pathology::04_Common_hip_&_knee_conditions #AK_Step1_v9::#Physeo::02_Anatomy::08_MSK::10_Other_Knee_&_Leg_Conditions #AK_Step1_v9::Musculoskeletal::Anatomy"
A {{c1::Baker cyst}} is a collection of {{c2::synovial fluid}} in the {{c3::popliteal fossa}} in the {{c4::gastrocnemius-semimembranous}} bursa.	"<div>Causes a proximal tibial nerve lesion (sensory + motor deficits), rupture mimics a DVT</div><div><img src=""paste-465071943712769.jpg""></div><div>popliteal fossa is defined as the diamond shaped fossa outlined by the four muscles<br></div><div><img src=""paste-94910187307009.jpg""></div>"										"#AK_Step1_v7::#B&B::14_MSK::01_Anatomy_&_Orthopedics::01_Knee #AK_Step1_v7::#FirstAid::11_MSK,_Skin,_&_Connective::02_Pathology::04_Common_hip_&_knee_conditions #AK_Step1_v7::#Physeo::02_Anatomy::08_MSK::10_Other_Knee_&_Leg_Conditions #AK_Step1_v7::Musculoskeletal::Anatomy #AK_Step1_v9::#B&B::14_MSK::01_Anatomy_&_Orthopedics::01_Knee #AK_Step1_v9::#FirstAid::11_MSK,_Skin,_&_Connective::02_Pathology::04_Common_hip_&_knee_conditions #AK_Step1_v9::#Physeo::02_Anatomy::08_MSK::10_Other_Knee_&_Leg_Conditions #AK_Step1_v9::Musculoskeletal::Anatomy"
Baker cyst forms in the setting of {{c1::chronic degenerative or inflammatory joint}} disease.	"Like OsteoArthritis<br><div><img src=""paste-465067648745473.jpg""></div>"										"#AK_Step1_v9::#B&B::14_MSK::01_Anatomy_&_Orthopedics::01_Knee #AK_Step1_v9::#FirstAid::11_MSK,_Skin,_&_Connective::02_Pathology::04_Common_hip_&_knee_conditions #AK_Step1_v9::#Physeo::02_Anatomy::08_MSK::10_Other_Knee_&_Leg_Conditions #AK_Step1_v9::Musculoskeletal::Anatomy"
A {{c3::Baker cyst}} presents with {{c1::posterior knee pain/stiffness}} and detection of a swelling/mass in the {{c2::popliteal fossa}}	"<div>Also known as a Popliteal cyst; Can result in a <b>proximal</b> injury to the tibial nerve (all tibial motor deficits - vs a distal which is sensory primarily but can have intrinsic foot muscle weakness )</div><div><br /></div><div>If ruptures --&gt; resembles a DVT</div><div><br /></div><div><img src=""paste-465067648745473.jpg"" /></div>"										"#AK_Step1_v7::#B&B::14_MSK::01_Anatomy_&_Orthopedics::01_Knee #AK_Step1_v7::#FirstAid::11_MSK,_Skin,_&_Connective::02_Pathology::04_Common_hip_&_knee_conditions #AK_Step1_v7::#Physeo::02_Anatomy::08_MSK::10_Other_Knee_&_Leg_Conditions #AK_Step1_v7::Musculoskeletal::Anatomy #AK_Step1_v9::#B&B::14_MSK::01_Anatomy_&_Orthopedics::01_Knee #AK_Step1_v9::#FirstAid::11_MSK,_Skin,_&_Connective::02_Pathology::04_Common_hip_&_knee_conditions #AK_Step1_v9::#Physeo::02_Anatomy::08_MSK::10_Other_Knee_&_Leg_Conditions #AK_Step1_v9::Musculoskeletal::Anatomy"
The rotator cuff muscles are innervated primarily by {{c1::C5-C6::(nerve roots)}}	"<div><img src=""paste-72516227825665.jpg"" /></div>"										"#AK_Step1_v9::#B&B::14_MSK::01_Anatomy_&_Orthopedics::02_Shoulder_&_Elbow #AK_Step1_v9::#FirstAid::11_MSK,_Skin,_&_Connective::01_Anatomy_&_Physiology::01_Rotator_cuff_muscles #AK_Step1_v9::#Physeo::02_Anatomy::08_MSK::04_Shoulder #AK_Step1_v9::Musculoskeletal::Anatomy"
The rotator cuff muscles are:<div>1. {{c1::supraspinatus}}</div><div>2. {{c2::infraspinatus}}</div><div>3. {{c3::teres minor}}</div><div>4. {{c4::subscapularis}}</div>	"<div><br /></div><img src=""paste-62341450301441.jpg"" /><br /><div><br /></div>"										"#AK_Step1_v9::#B&B::14_MSK::01_Anatomy_&_Orthopedics::02_Shoulder_&_Elbow #AK_Step1_v9::#FirstAid::11_MSK,_Skin,_&_Connective::01_Anatomy_&_Physiology::01_Rotator_cuff_muscles #AK_Step1_v9::#Physeo::02_Anatomy::08_MSK::04_Shoulder #AK_Step1_v9::Musculoskeletal::Anatomy"
The {{c1::teres minor}} (rotator cuff muscle) is innervated by the {{c2::axillary}} nerve.	"<img src=""paste-11678016077825.jpg"" /><br /><div><img src=""paste-11665131175937.jpg"" /></div>"										"#AK_Step1_v9::#B&B::14_MSK::01_Anatomy_&_Orthopedics::02_Shoulder_&_Elbow #AK_Step1_v9::#FirstAid::11_MSK,_Skin,_&_Connective::01_Anatomy_&_Physiology::01_Rotator_cuff_muscles #AK_Step1_v9::#Physeo::02_Anatomy::08_MSK::04_Shoulder #AK_Step1_v9::Musculoskeletal::Anatomy"
The {{c1::subscapularis}} (rotator cuff muscle) is innervated by the {{c2::upper and lower}} {{c3::subscapular (C5-C6)}} nerves (2).	"<div>The lower middle of the <u>posterior cord</u> gives off the upper and lower subscapular nerves (thus cutting the posterior cord mid way results in impairment of <u>internal rotation </u>/ adduction along with deltoid paralysis + wrist drop)</div><div><br /></div><div><img src=""paste-21805548961793.jpg"" /></div>"	"<img src=""paste-8d7245413658992a2380eee852fd8da3c097d39f.jpg"">"									"#AK_Step1_v7::#B&B::14_MSK::01_Anatomy_&_Orthopedics::02_Shoulder_&_Elbow #AK_Step1_v7::#FirstAid::11_MSK,_Skin,_&_Connective::01_Anatomy_&_Physiology::01_Rotator_cuff_muscles #AK_Step1_v7::#Physeo::02_Anatomy::08_MSK::04_Shoulder #AK_Step1_v7::Musculoskeletal::Anatomy #AK_Step1_v9::#B&B::14_MSK::01_Anatomy_&_Orthopedics::02_Shoulder_&_Elbow #AK_Step1_v9::#FirstAid::11_MSK,_Skin,_&_Connective::01_Anatomy_&_Physiology::01_Rotator_cuff_muscles #AK_Step1_v9::#Physeo::02_Anatomy::08_MSK::04_Shoulder #AK_Step1_v9::Musculoskeletal::Anatomy"
The {{c1::supraspinatus}} {{c3::a<b>B</b>ducts}} the arm initially (from {{c2::0 to 15}}°).	"<br /><div><img src=""paste-465471375671297.jpg"" /></div>"										"#AK_Step1_v9::#B&B::14_MSK::01_Anatomy_&_Orthopedics::02_Shoulder_&_Elbow #AK_Step1_v9::#FirstAid::11_MSK,_Skin,_&_Connective::01_Anatomy_&_Physiology::02_Arm_abduction #AK_Step1_v9::#Physeo::02_Anatomy::08_MSK::04_Shoulder #AK_Step1_v9::#UWorld::1733 #AK_Step1_v9::Musculoskeletal::Anatomy"
The {{c1::supraspinatus}} is the most commonly injured rotator cuff muscle, due to {{c2::trauma}} or {{c3::degeneration and impingement}} which leads to {{c4::tendinopathy or tear}}	"<div><i>Impingement of the tendon can occur between the humeral head and acromion process</i></div><div><br /></div><div>- This results in pain and tenderness at deltoid with weakness in active shoulder abduction</div><div>- in a tear, pain elicited with forcible forward elevation of arm (<u>Neer's Sign</u>)</div><div>- seen in <u>swimmers</u> and <u>throwers</u></div><div><u><br /></u></div><div><u><br /></u></div><div><u><img src=""paste-466003951616001.jpg"" /><img src=""paste-465471375671297.jpg"" /></u></div><div><u><img src=""paste-399784145846273.jpg"" /></u></div>"										"#AK_Step1_v7::#B&B::14_MSK::01_Anatomy_&_Orthopedics::02_Shoulder_&_Elbow #AK_Step1_v7::#FirstAid::11_MSK,_Skin,_&_Connective::01_Anatomy_&_Physiology::01_Rotator_cuff_muscles #AK_Step1_v7::^EXPN::BGadd #AK_Step1_v7::^EXPN::Uworld #AK_Step1_v7::^FA_Updates::FA2018 #AK_Step1_v7::Musculoskeletal::Anatomy #AK_Step1_v9::#B&B::14_MSK::01_Anatomy_&_Orthopedics::02_Shoulder_&_Elbow #AK_Step1_v9::#FirstAid::11_MSK,_Skin,_&_Connective::01_Anatomy_&_Physiology::01_Rotator_cuff_muscles #AK_Step1_v9::^EXPN::BGadd #AK_Step1_v9::^EXPN::Uworld #AK_Step1_v9::^FA_Updates::FA2018 #AK_Step1_v9::Musculoskeletal::Anatomy"
"Function of the {{c1::supraspinatus}} muscle may be assessed using the {{c2::""empty/full can""}} test."	"<div><br /></div><u>Empty can test</u>: Patient has arms out (90° abducted, 30° in front) with thumbs down. Examiner pushes down, + if pain.<div><u>Full can test</u>: Same but with thumbs up.<br /><div><img src=""paste-465471375671297.jpg"" /></div></div>"										"#AK_Step1_v9::#B&B::14_MSK::01_Anatomy_&_Orthopedics::02_Shoulder_&_Elbow #AK_Step1_v9::#FirstAid::11_MSK,_Skin,_&_Connective::01_Anatomy_&_Physiology::01_Rotator_cuff_muscles #AK_Step1_v9::Musculoskeletal::Anatomy"
The {{c1::infraspinatus}} and {{c1::teres minor}} (rotator cuff muscles) {{c2::laterally (<i>external</i>) rotate}} the arm (action).	"<div><img src=""paste-465471375671297.jpg""></div>"										"#AK_Step1_v7::#B&B::14_MSK::01_Anatomy_&_Orthopedics::02_Shoulder_&_Elbow #AK_Step1_v7::#FirstAid::11_MSK,_Skin,_&_Connective::01_Anatomy_&_Physiology::01_Rotator_cuff_muscles #AK_Step1_v7::#Physeo::02_Anatomy::08_MSK::04_Shoulder #AK_Step1_v7::Musculoskeletal::Anatomy #AK_Step1_v9::#B&B::14_MSK::01_Anatomy_&_Orthopedics::02_Shoulder_&_Elbow #AK_Step1_v9::#FirstAid::11_MSK,_Skin,_&_Connective::01_Anatomy_&_Physiology::01_Rotator_cuff_muscles #AK_Step1_v9::#NBME::Form_16 #AK_Step1_v9::#NBME::Free120_2020_old_and_new #AK_Step1_v9::#Physeo::02_Anatomy::08_MSK::04_Shoulder #AK_Step1_v9::Musculoskeletal::Anatomy"
